"","","","","","","","","MH (Mumbai South Central)","","MH (Mumbai North Central)","","MH (Maval)","","MH (Pune)","","MH (Baramati)","","MH (Latur)","","MH (Nanded)","","TS (Zahirabad)","","TS (Karimnagar)","","TS (Malkajgiri)","","CG (Bastar)","","OR (Nabarangpur)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","MH (Mumbai South)","","MH (Raigad)","","MH (Satara)","","MH (Madha)","","MH (Solapur)","","MH (Osmanabad)","","KA (Bidar)","","TS (Chevella)","","TS (Medak)","","TS (Secunderabad)","","TS (Warangal)","","AP (Araku)","","AP (Srikakulam)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","MH (Ratnagiri–Sindhudurg)","","MH (Hatkanangle)","","MH (Sangli)","","KA (Bijapur)","","KA (Kalaburagi)","","KA (Raichur)","","TS (Mahbubnagar)","","TS (Hyderabad)","","TS (Bhongir)","","TS (Mahabubabad)","","AP (Visakhapatnam)","","AP (Vizianagaram)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","MH (Kolhapur)","","KA (Chikkodi)","","KA (Belagavi)","","KA (Dharwad)","","KA (Bagalkot)","","KA (Koppal)","","TS (Nagarkurnool)","","TS (Nalgonda)","","TS (Khammam)","","AP (Kakinada)","","AP (Anakapalli)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","GA (North Goa)","","KA (Uttara Kannada)","","KA (Haveri)","","KA (Davanagere)","","KA (Bellary)","","AP (Vijayawada)","","AP (Eluru)","","AP (Rajahmundry)","","AP (Narasapuram)","","AP (Amalapuram)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","GA (South Goa)","","KA (Shimoga)","","KA (Tumkur)","","KA (Chitradurga)","","AP (Nandyal)","","AP (Ongole)","","AP (Narasaraopet)","","AP (Bapatla)","","AP (Guntur)","","AP (Machilipatnam)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","KA (Udupi Chikmagalur)","","KA (Hassan)","","KA (Bangalore South)","","AP (Kurnool)","","AP (Anantapur)","","AP (Kadapa)","","AP (Nellore)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","KA (Dakshina Kannada)","","KA (Bangalore North)","","KA (Bangalore Central)","","KA (Chikballapur)","","AP (Hindupur)","","AP (Rajampet)","","AP (Tirupati)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","KL (Kasaragod)","","KA (Mysore)","","KA (Mandya)","","TN (Vellore)","","KA (Kolar)","","TN (Arakkonam)","","AP (Chittoor)","","TN (Thiruvallur)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","KL (Kannur)","","KL (Vatakara)","","KA (Chamarajanagar)","","KA (Bangalore Rural)","","TN (Sriperumbudur)","","TN (Chennai South)","","TN (Chennai Central)","","TN (Chennai North)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","KL (Kozhikode)","","KL (Malappuram)","","KL (Wayanad)","","TN (Krishnagiri)","","TN (Tiruvannamalai)","","TN (Arani)","","TN (Kancheepuram)","","TN (Villupuram)","","TN (Cuddalore)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AN (Andaman and Nicobar Islands)","","","","","","",""
"","","","","","","","","","","","","","KL (Ponnani)","","KL (Palakkad)","","KL (Alathur)","","TN (Dharmapuri)","","TN (Salem)","","TN (Kallakurichi)","","TN (Chidambaram)","","TN (Mayiladuturai)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","KL (Thrissur)","","KL (Chalakudy)","","TN (Nilgiris)","","TN (Tiruppur)","","TN (Namakkal)","","TN (Perambalur)","","TN (Tiruchirappalli)","","PY (Puducherry)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","LD (Lakshadweep)","","","","","","","","","","","","","","KL (Ernakulam)","","KL (Idukki)","","TN (Coimbatore)","","TN (Erode)","","TN (Karur)","","TN (Thanjavur)","","TN (Nagapattinam)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","KL (Alappuzha)","","KL (Kottayam)","","TN (Pollachi)","","TN (Dindigul)","","TN (Madurai)","","TN (Sivaganga)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","KL (Mavelikara)","","KL (Pathanamthitta)","","TN (Theni)","","TN (Virudhunagar)","","TN (Ramanathapuram)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","KL (Attingal)","","KL (Kollam)","","TN (Tenkasi)","","TN (Thoothukudi)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","KL (Thiruvananthapuram)","","TN (Kanyakumari)","","TN (Tirunelveli)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
